Date,Sensor
2023-06-14 00:09:18,0
2023-06-14 00:09:22,0
2023-06-14 00:09:22,0
2023-06-14 00:09:24,0
2023-06-14 00:09:26,0
2023-06-14 00:09:28,0
2023-06-14 00:09:30,0
2023-06-14 00:09:32,0
2023-06-14 00:09:34,1535
2023-06-14 00:09:37,690
2023-06-14 00:09:38,690
2023-06-14 00:09:40,690
2023-06-14 00:09:42,690
2023-06-14 00:09:44,690
2023-06-14 00:09:46,690
2023-06-14 00:09:48,690
2023-06-14 00:09:50,690
2023-06-14 00:09:52,690
2023-06-14 00:09:54,690
2023-06-14 00:09:56,690
2023-06-14 00:09:58,690
2023-06-14 00:10:00,690
2023-06-14 00:10:02,690
2023-06-14 00:10:04,690
2023-06-14 00:10:06,690
2023-06-14 00:10:08,690
2023-06-14 00:10:10,690
2023-06-14 00:10:12,690
2023-06-14 00:10:14,690
2023-06-14 00:10:16,690
2023-06-14 00:10:19,690
2023-06-14 00:10:20,690
2023-06-14 00:10:22,690
2023-06-14 00:10:24,690
2023-06-14 00:10:26,690
2023-06-14 00:10:28,690
2023-06-14 00:10:30,690
2023-06-14 00:10:32,690
2023-06-14 00:10:34,690
2023-06-14 00:10:36,690
2023-06-14 00:10:38,690
2023-06-14 00:10:40,690
2023-06-14 00:10:42,690
2023-06-14 00:10:44,690
2023-06-14 00:10:46,767
